date,open,high,low,close,volume
2022-01-07,172.89,174.14,171.03,172.17,86709147.0
2022-01-14,171.34,173.78,171.09,173.07,80440800.0
2022-01-21,164.42,166.33,162.3,162.41,122848900.0
2022-01-28,165.71,170.35,162.8,170.33,179935700.0
2022-02-04,171.68,174.1,170.68,172.39,82465400.0
2022-02-11,172.33,173.08,168.04,168.64,98670700.0
2022-02-18,169.82,170.54,166.19,167.3,82772700.0
2022-02-25,163.84,165.12,160.87,164.85,91974222.0
2022-03-04,164.49,165.55,162.1,163.17,83819592.0
2022-03-11,158.93,159.28,154.5,154.73,96970102.0
2022-03-18,160.51,164.48,159.76,163.98,123511700.0
2022-03-25,173.88,175.28,172.75,174.72,80546200.0
2022-04-01,174.03,174.88,171.94,174.31,78751328.0
2022-04-08,171.78,171.78,169.2,170.09,76575508.0
2022-04-14,170.62,171.27,165.04,165.29,75329400.0
2022-04-22,166.46,167.87,161.5,161.79,84882424.0
2022-04-29,161.84,166.2,157.25,157.65,131747600.0
2022-05-06,156.01,159.44,154.18,157.28,116124647.0
2022-05-13,144.59,148.1,143.11,147.11,113990900.0
2022-05-20,139.09,140.7,132.61,137.59,137426125.0
2022-05-27,145.39,149.68,145.26,149.64,90978503.0
2022-06-03,146.9,147.97,144.46,145.38,88570300.0
2022-06-10,140.28,140.76,137.06,137.13,91566637.0
2022-06-17,130.07,133.08,129.81,131.56,134520300.0
2022-06-24,139.9,141.91,139.77,141.66,89116837.0
2022-07-01,136.04,139.04,135.66,138.93,71051600.0
2022-07-08,145.26,147.55,145.0,147.04,64547800.0
2022-07-15,149.78,150.86,148.2,150.17,76259931.0
2022-07-22,155.39,156.28,153.41,154.09,66675408.0
2022-07-29,161.24,163.63,159.5,162.51,101786900.0
2022-08-05,163.21,165.85,163.0,165.35,56697000.0
2022-08-12,169.82,172.17,169.4,172.1,68039400.0
2022-08-19,173.03,173.74,171.31,171.52,70346300.0
2022-08-26,170.57,171.05,163.56,163.62,78961000.0
2022-09-02,159.75,160.36,154.97,155.81,76957800.0
2022-09-09,155.47,157.82,154.75,157.37,68081006.0
2022-09-16,151.21,151.35,148.37,150.7,162278841.0
2022-09-23,151.19,151.47,148.56,150.43,96029909.0
2022-09-30,141.28,143.1,138.0,138.2,124925300.0
2022-10-07,142.54,143.1,139.45,140.09,85925600.0
2022-10-14,144.31,144.52,138.19,138.38,88598000.0
2022-10-21,142.87,147.85,142.65,147.27,86548609.0
2022-10-28,148.2,157.5,147.82,155.74,164762400.0
2022-11-04,142.09,142.67,134.38,138.38,140814800.0
2022-11-11,145.82,150.01,144.37,149.7,93979700.0
2022-11-18,152.31,152.7,149.97,151.29,74829600.0
2022-11-25,148.31,148.88,147.12,148.11,35195900.0
2022-12-02,145.96,148.0,145.65,147.81,65447446.0
2022-12-09,142.34,145.57,140.9,142.16,76097011.0
2022-12-16,136.69,137.65,133.73,134.51,160156900.0
2022-12-23,130.92,132.42,129.64,131.86,63814900.0
2022-12-30,128.41,129.95,127.43,129.93,77034209.0
2023-01-06,126.01,130.29,124.89,129.62,87754715.0
2023-01-13,132.03,134.92,131.66,134.76,57809719.0
2023-01-20,135.28,138.02,134.22,137.87,80223626.0
2023-01-27,143.16,147.23,143.08,145.93,70555843.0
2023-02-03,148.03,157.38,147.83,154.5,154357337.0
2023-02-10,149.46,151.34,149.22,151.01,57450708.0
