date,open,high,low,close,volume
2022-01-07,28.14,28.42,27.06,27.25,409939000.0
2022-01-14,26.3,27.2,26.21,26.94,395832350.0
2022-01-21,23.51,24.82,23.26,23.37,718958000.0
2022-01-28,22.01,22.86,21.3,22.84,543774250.0
2022-02-04,23.97,24.64,23.63,24.32,354829000.0
2022-02-11,25.92,26.15,23.77,23.95,605472000.0
2022-02-18,24.67,24.99,23.1,23.64,761255000.0
2022-02-25,23.72,24.22,23.38,24.16,528866000.0
2022-03-04,23.38,23.68,22.48,22.94,432010700.0
2022-03-11,23.02,23.15,22.05,22.1,367209000.0
2022-03-18,24.8,26.57,24.62,26.45,730719000.0
2022-03-25,27.89,28.36,27.27,27.69,579016180.0
2022-04-01,27.38,27.5,26.27,26.71,517235110.0
2022-04-08,23.92,23.92,23.06,23.12,524781000.0
2022-04-14,22.51,22.78,21.16,21.26,569097000.0
2022-04-22,20.3,20.49,19.5,19.52,624713430.0
2022-04-29,19.4,20.13,18.52,18.55,500435000.0
2022-05-06,18.74,19.51,17.99,18.68,633297000.0
2022-05-13,16.79,17.93,16.59,17.71,670437000.0
2022-05-20,17.33,17.41,15.76,16.69,739105260.0
2022-05-27,18.19,18.88,18.1,18.81,738379350.0
2022-06-03,19.08,19.33,18.52,18.72,598779000.0
2022-06-10,17.6,17.7,16.87,16.97,465649660.0
2022-06-17,15.65,16.0,15.33,15.88,630334000.0
2022-06-24,16.5,17.14,16.31,17.13,472153000.0
2022-07-01,14.9,15.06,14.39,14.52,577610080.0
2022-07-08,15.43,16.04,15.39,15.84,467972000.0
2022-07-15,15.66,15.78,15.45,15.76,385935470.0
2022-07-22,17.89,17.97,17.14,17.32,536671000.0
2022-07-29,17.81,18.24,17.69,18.16,435460420.0
2022-08-05,18.81,19.23,18.67,18.99,386068290.0
2022-08-12,18.16,18.72,17.95,18.71,478094150.0
2022-08-19,18.41,18.52,17.77,17.85,441588330.0
2022-08-26,17.86,17.92,16.24,16.26,769127430.0
2022-09-02,14.1,14.17,13.59,13.65,743157460.0
2022-09-09,14.16,14.47,14.13,14.39,487128420.0
2022-09-16,12.74,13.21,12.62,13.2,670751400.0
2022-09-23,12.42,12.61,12.26,12.52,663309310.0
2022-09-30,12.09,12.63,12.08,12.14,565638420.0
2022-10-07,12.51,12.67,12.02,12.08,672478160.0
2022-10-14,12.06,12.11,11.2,11.23,713432000.0
2022-10-21,12.1,12.5,11.89,12.47,609494410.0
2022-10-28,13.1,13.85,13.06,13.83,521040000.0
2022-11-04,13.99,14.23,13.7,14.16,612576000.0
2022-11-11,15.81,16.39,15.48,16.33,655487470.0
2022-11-18,15.97,16.0,15.12,15.41,492072000.0
2022-11-25,16.32,16.49,16.17,16.27,167934300.0
2022-12-02,16.66,16.93,16.45,16.88,371389000.0
2022-12-09,17.16,17.58,16.98,17.0,465338190.0
2022-12-16,16.86,17.04,16.41,16.57,478232000.0
2022-12-23,15.2,15.34,14.88,15.21,349326000.0
2022-12-30,14.33,14.63,14.23,14.61,310490000.0
2023-01-06,14.47,15.01,14.03,14.86,405044000.0
2023-01-13,16.28,16.92,16.17,16.9,447287060.0
2023-01-20,17.01,17.86,16.83,17.84,564967120.0
2023-01-27,19.46,20.63,19.41,20.36,542142000.0
2023-02-03,21.0,21.74,20.79,21.1,429366000.0
2023-02-10,21.69,22.08,20.81,21.27,550737000.0
2023-02-17,21.63,21.74,20.98,21.39,465888000.0
2023-02-24,23.23,23.47,22.95,23.29,589716000.0
2023-03-03,23.32,23.9,23.13,23.89,412393300.0
2023-03-10,23.41,23.63,22.73,22.97,474866000.0
2023-03-17,25.98,26.4,25.67,25.73,848547000.0
2023-03-24,27.03,27.17,26.36,26.78,455414070.0
2023-03-31,27.14,27.83,27.11,27.78,433933000.0
2023-04-06,26.58,27.08,26.43,27.04,397654340.0
2023-04-14,26.5,26.88,26.22,26.76,395660130.0
2023-04-21,26.95,27.18,26.72,27.12,345103000.0
2023-04-28,27.23,27.76,27.07,27.75,292216140.0
2023-05-05,27.83,28.76,27.73,28.68,361494080.0
2023-05-12,28.53,28.78,28.05,28.34,274222250.0
2023-05-19,31.54,31.58,30.92,31.26,473908000.0
2023-05-26,37.89,39.17,37.55,38.95,714397000.0
2023-06-02,40.1,40.5,39.06,39.33,482731210.0
2023-06-09,39.04,39.71,38.57,38.77,427717470.0
2023-06-16,43.45,43.72,42.66,42.69,655709410.0
2023-06-23,42.46,42.81,42.02,42.21,358140000.0
2023-06-30,41.68,42.55,41.5,42.3,501148000.0
2023-07-07,42.32,43.21,42.18,42.5,355881470.0
2023-07-14,46.58,48.09,45.06,45.47,772075330.0
2023-07-21,45.79,45.87,44.1,44.31,963769000.0
2023-07-28,46.67,47.03,46.38,46.75,331194240.0
2023-08-04,44.99,45.64,44.39,44.68,362666180.0
2023-08-11,41.75,42.02,40.64,40.85,533085260.0
2023-08-18,42.64,43.58,41.66,43.3,583768000.0
2023-08-25,47.01,47.81,45.02,46.02,925341000.0
2023-09-01,49.76,49.8,48.14,48.51,463830300.0
2023-09-08,45.94,46.61,45.27,45.57,473899940.0
2023-09-15,45.34,45.6,43.81,43.9,506831000.0
2023-09-22,41.57,42.12,41.23,41.61,479236310.0
2023-09-29,43.83,44.14,43.31,43.5,397830000.0
2023-10-06,44.19,45.79,44.03,45.76,434436020.0
2023-10-13,46.96,47.12,45.28,45.46,475425990.0
2023-10-20,41.89,42.47,41.08,41.39,477266050.0
2023-10-27,41.13,41.21,40.02,40.5,416784410.0
2023-11-03,44.02,45.31,43.72,45.01,424610000.0
2023-11-10,47.5,48.47,47.28,48.34,422441560.0
2023-11-17,49.52,49.72,49.01,49.3,325896910.0
2023-11-24,48.47,48.92,47.75,47.78,294645000.0
2023-12-01,46.53,47.2,46.19,46.77,369317010.0
2023-12-08,46.6,47.74,46.55,47.51,359224000.0
2023-12-15,48.19,49.4,48.12,48.89,479948000.0
2023-12-22,49.2,49.38,48.47,48.83,252507000.0
2023-12-29,49.81,50.0,48.75,49.52,389293300.0
2024-01-05,48.46,49.55,48.31,49.1,415039270.0
2024-01-12,54.62,54.97,54.33,54.71,352994000.0
2024-01-19,57.99,59.5,57.23,59.49,543501480.0
2024-01-26,60.96,61.78,60.57,61.03,390309000.0
2024-02-02,63.97,66.6,63.69,66.16,476578000.0
2024-02-09,70.53,72.19,70.21,72.13,436637000.0
2024-02-16,74.1,74.4,72.5,72.61,495327000.0
2024-02-23,80.79,82.39,77.57,78.82,829388370.0
2024-03-01,80.0,82.3,79.44,82.28,479135100.0
2024-03-08,95.14,97.4,86.51,87.53,1142269060.0
2024-03-15,86.93,89.55,86.26,87.84,642086160.0
2024-03-22,91.14,94.78,90.83,94.29,586719360.0
2024-03-28,90.0,91.3,89.19,90.36,435212270.0
2024-04-05,86.87,88.48,85.93,88.01,399678460.0
2024-04-12,89.7,90.17,87.53,88.19,426805000.0
2024-04-19,83.15,84.32,75.61,76.2,875198000.0
2024-04-26,83.82,88.33,83.39,87.74,551011000.0
2024-05-03,87.79,89.28,87.04,88.79,398341000.0
2024-05-10,90.3,91.4,89.23,89.88,335325410.0
2024-05-17,94.37,94.74,91.81,92.48,359691030.0
2024-05-24,104.45,106.48,103.0,106.47,429494000.0
2024-05-31,112.52,112.72,106.94,109.63,613263000.0
2024-06-07,119.77,121.69,118.02,120.89,412386000.0
2024-06-14,129.96,132.84,128.32,131.88,309320400.0
2024-06-21,127.12,130.63,124.3,126.57,655484664.0
2024-06-28,124.58,127.71,122.75,123.54,315516740.0
2024-07-05,127.38,128.85,125.68,125.83,214176700.0
2024-07-12,128.26,131.92,127.22,129.24,252680535.0
2024-07-19,120.35,121.6,117.37,117.93,217223800.0
2024-07-26,116.19,116.2,111.58,113.06,293399100.0
2024-08-02,103.76,108.72,101.37,107.27,482027500.0
2024-08-09,105.64,106.6,103.43,104.75,290844200.0
2024-08-16,121.94,125.0,121.18,124.58,302589900.0
2024-08-23,125.86,129.6,125.22,129.37,323230332.0
2024-08-30,119.53,121.75,117.22,119.37,333751600.0
2024-09-06,108.04,108.15,100.95,102.83,413638100.0
2024-09-13,119.08,119.96,117.6,119.1,238358328.0
2024-09-20,117.06,118.62,115.39,116.0,382462428.0
2024-09-27,123.97,124.03,119.26,121.4,271009200.0
2024-10-04,124.94,125.04,121.83,124.92,244465552.0
2024-10-11,134.01,135.78,133.66,134.8,170209500.0
2024-10-18,138.67,138.9,137.28,138.0,176090200.0
2024-10-25,140.93,144.13,140.8,141.54,205122109.0
2024-11-01,134.7,137.31,134.57,135.4,207127838.0
2024-11-08,148.77,149.77,146.26,147.63,175665830.0
2024-11-15,144.87,145.24,140.08,141.98,250132900.0
2024-11-22,145.93,147.16,141.1,141.95,236406200.0
2024-11-29,136.78,139.35,136.05,138.25,141863200.0
2024-12-06,144.6,145.7,141.31,142.44,188505600.0
2024-12-13,138.94,139.6,132.54,134.25,231514900.0
2024-12-20,129.81,135.28,128.22,134.7,306528600.0
2024-12-27,138.55,139.02,134.71,137.01,170582603.0
2025-01-03,140.01,144.9,139.73,144.47,229322500.0
2025-01-10,137.45,139.92,134.22,135.91,207602514.0
2025-01-17,136.69,138.5,135.46,137.71,201188800.0
2025-01-24,148.37,148.97,141.88,142.62,234657635.0
2025-01-31,123.78,127.85,119.19,120.07,390372899.0
2025-02-07,129.22,130.37,125.0,129.84,228186300.0
2025-02-14,136.48,139.25,135.5,138.85,195479600.0
2025-02-21,140.04,141.46,134.03,134.43,228217600.0
2025-02-28,118.02,125.09,116.4,124.92,389091145.0
2025-03-07,111.25,113.48,107.56,112.69,341755500.0
2025-03-14,118.61,121.88,118.15,121.67,277593500.0
2025-03-21,116.94,117.99,115.42,117.7,266498528.0
2025-03-28,111.49,112.87,109.07,109.67,229872549.0
2025-04-04,98.91,100.13,92.11,94.31,532273810.0
2025-04-11,108.5,111.55,107.48,110.93,313417300.0
2025-04-17,104.45,104.47,100.05,101.49,292517500.0
2025-04-25,106.85,111.92,105.73,111.01,251064700.0
2025-05-02,114.18,115.4,113.37,114.5,190194800.0
2025-05-09,117.35,118.23,115.21,116.65,132972200.0
2025-05-16,136.22,136.35,133.46,135.4,226542500.0
2025-05-23,130.0,132.68,129.16,131.29,198821324.0
2025-05-30,138.72,139.62,132.92,135.13,333170900.0
2025-06-06,142.51,143.27,141.51,141.72,153986200.0
2025-06-13,142.48,143.58,140.85,141.97,180820600.0
2025-06-20,145.45,146.2,142.65,143.85,242956200.0
2025-06-27,156.04,158.71,155.26,157.75,263234539.0
2025-07-03,158.37,160.98,157.77,159.34,143716100.0
2025-07-11,163.72,167.89,163.47,164.92,193633300.0
2025-07-18,173.64,174.25,171.26,172.41,146456416.0
2025-07-25,173.61,174.72,172.96,173.5,122316800.0
2025-08-01,174.09,176.54,170.89,173.72,204529000.0
2025-08-08,181.55,183.3,180.4,182.7,123396700.0
2025-08-15,181.88,181.9,178.04,180.45,156602200.0
2025-08-22,172.61,178.59,171.2,177.99,172789427.0
2025-08-29,178.11,178.15,173.15,174.18,243257900.0
2025-09-05,168.03,169.03,164.07,167.02,224441435.0
2025-09-12,177.77,178.6,176.45,177.82,124911026.0
2025-09-19,175.77,178.08,175.18,176.67,237182143.0
2025-09-26,178.17,179.77,174.93,178.19,148573732.0
2025-10-03,189.19,190.36,185.38,187.62,137596900.0
2025-10-10,193.51,195.62,182.05,183.16,268774400.0
2025-10-17,180.18,184.1,179.75,183.22,173135217.0
2025-10-24,183.84,187.47,183.5,186.26,131296700.0
2025-10-31,206.45,207.97,202.07,202.49,179802200.0
2025-11-07,184.9,188.32,178.91,188.15,264942300.0
2025-11-14,182.86,191.01,180.58,190.17,186591900.0
2025-11-21,181.24,184.56,172.93,178.88,346926200.0
2025-11-28,179.01,179.29,176.5,177.0,121332800.0
2025-12-05,183.89,184.66,180.91,182.41,143971100.0
2025-12-12,181.11,182.82,174.62,175.02,204274918.0
2025-12-19,176.67,181.45,176.34,180.99,324925927.0
2025-12-26,189.92,192.69,188.0,190.53,139740300.0
2026-01-02,189.84,192.93,188.26,188.85,148240500.0
2026-01-09,185.08,186.34,183.67,184.86,131327534.0
2026-01-16,189.08,190.44,186.08,186.23,187967200.0
2026-01-23,187.5,189.6,186.82,187.67,142748100.0
2026-01-30,191.21,194.49,189.47,191.13,179489500.0
2026-02-06,176.69,187.0,174.6,185.41,231346241.0
2026-02-13,187.48,187.5,181.59,182.81,161888021.0
2026-02-20,186.57,190.33,185.94,189.82,178422337.0
2026-02-27,181.25,182.59,176.38,177.19,311636500.0
2026-03-06,179.84,182.76,176.82,177.82,189021949.0
2026-03-13,184.92,186.09,179.94,180.25,160988425.0
