date,open,high,low,close,volume
2022-01-07,16.7,17.33,16.475,16.56,37989265.0
2022-01-14,15.94,16.2485,15.62,16.01,35424310.0
2022-01-21,14.25,14.478,13.5,13.53,73031305.0
2022-01-28,12.3,12.88,11.89,12.71,54887541.0
2022-02-04,12.47,13.09,12.265,12.94,38951576.0
2022-02-11,13.45,13.92,12.97,13.13,41831569.0
2022-02-18,11.92,12.01,10.57,11.02,137808130.0
2022-02-25,11.59,11.89,11.0,11.47,75433711.0
2022-03-04,11.7,11.77,10.74,10.96,43631139.0
2022-03-11,11.86,12.005,11.37,11.39,37817372.0
2022-03-18,12.28,13.02,12.215,12.82,56325472.0
2022-03-25,13.36,13.395,12.71,12.97,24796929.0
2022-04-01,13.77,14.065,13.5,13.83,23831607.0
2022-04-08,12.7,13.05,12.57,12.7,24962502.0
2022-04-14,12.92,12.92,12.41,12.42,23284123.0
2022-04-22,12.33,12.73,11.86,11.96,30357878.0
2022-04-29,10.9,11.23,10.36,10.4,30937495.0
2022-05-06,10.0,10.05,9.42,9.48,69691303.0
2022-05-13,7.52,8.35,7.52,8.34,69242703.0
2022-05-20,8.26,8.4,7.71,8.08,40879105.0
2022-05-27,8.5,8.85,8.4336,8.85,37064602.0
2022-06-03,9.04,9.25,8.86,8.94,36632342.0
2022-06-10,8.48,8.58,8.14,8.26,30293236.0
2022-06-17,7.7,8.33,7.69,8.24,45517993.0
2022-06-24,9.53,10.2,9.48,10.19,67826046.0
2022-07-01,9.11,9.43,9.0305,9.27,33482389.0
2022-07-08,9.92,10.38,9.83,10.17,36737070.0
2022-07-15,9.01,9.12,8.65,9.04,34918133.0
2022-07-22,10.35,10.57,9.73,9.84,38915495.0
2022-07-29,10.01,10.35,9.92,10.35,31106607.0
2022-08-05,11.01,11.62,10.85,11.45,50264847.0
2022-08-12,9.55,9.97,9.42,9.91,30638186.0
2022-08-19,9.0,9.01,8.48,8.51,40560185.0
2022-08-26,8.42,8.43,7.93,7.94,34150358.0
2022-09-02,7.67,7.67,7.35,7.4,25965044.0
2022-09-09,7.68,7.82,7.64,7.79,27860611.0
2022-09-16,7.75,7.93,7.64,7.78,42137338.0
2022-09-23,7.2,7.42,7.13,7.4,34197320.0
2022-09-30,8.01,8.5,7.9709,8.13,47454794.0
2022-10-07,8.26,8.28,8.11,8.15,29550481.0
2022-10-14,8.23,8.31,7.53,7.53,37484777.0
2022-10-21,7.93,8.32,7.81,8.29,30705741.0
2022-10-28,8.55,8.66,8.365,8.64,20697363.0
2022-11-04,8.19,8.2,7.65,7.93,64338926.0
2022-11-11,7.48,8.42,7.375,8.41,55324135.0
2022-11-18,7.76,7.79,7.31,7.39,27245241.0
2022-11-25,7.32,7.3394,7.19,7.28,10824422.0
2022-12-02,7.615,7.76,7.5,7.66,18794030.0
2022-12-09,7.06,7.19,7.03,7.11,23367305.0
