date,open,high,low,close,volume
2022-01-07,360.12,360.31,336.67,342.32,84164700.0
2022-01-14,339.96,350.67,337.79,349.87,72924300.0
2022-01-21,332.11,334.85,313.5,314.63,103416000.0
2022-01-28,277.19,285.83,264.0,282.12,134789100.0
2022-02-04,299.07,312.17,293.72,307.77,73625400.0
2022-02-11,303.21,305.32,283.57,286.67,79645800.0
2022-02-18,295.33,295.62,279.2,285.66,68501700.0
2022-02-25,269.74,273.17,260.8,269.96,76067700.0
2022-03-04,283.03,285.22,275.05,279.43,66999600.0
2022-03-11,280.07,281.27,264.59,265.12,67037100.0
2022-03-18,291.5,302.62,289.13,301.8,100414200.0
2022-03-25,336.0,340.6,332.44,336.88,62031600.0
2022-04-01,360.38,364.92,355.55,361.53,54263100.0
2022-04-08,347.74,349.48,340.81,341.83,55013700.0
2022-04-14,333.1,337.57,327.4,328.33,58422300.0
2022-04-22,338.3,344.95,331.33,335.02,69696600.0
2022-04-29,300.75,311.47,290.0,290.25,88133100.0
2022-05-06,295.67,296.0,281.04,288.55,72903000.0
2022-05-13,257.83,262.45,250.52,256.53,92150700.0
2022-05-20,238.0,240.53,211.0,221.3,144973200.0
2022-05-27,241.08,253.27,240.18,253.21,89295000.0
2022-06-03,243.23,247.8,233.42,234.52,112393800.0
2022-06-10,235.16,239.5,227.91,232.23,97536600.0
2022-06-17,213.43,220.97,213.2,216.76,92641800.0
2022-06-24,237.47,246.07,236.09,245.71,95770800.0
2022-07-01,227.0,230.23,222.12,227.26,74460300.0
2022-07-08,242.33,254.98,241.16,250.76,101854200.0
2022-07-15,240.0,243.62,236.89,240.07,69683100.0
2022-07-22,276.22,280.79,270.71,272.24,103472700.0
2022-07-29,280.7,298.32,279.1,297.15,95313000.0
2022-08-05,302.67,304.61,285.54,288.17,113172900.0
2022-08-12,289.42,300.16,285.03,300.03,79657200.0
2022-08-19,299.0,300.36,292.5,296.67,61395300.0
2022-08-26,297.43,302.0,287.47,288.09,57163900.0
2022-09-02,281.07,282.35,269.08,270.21,50890100.0
