date,open,high,low,close,volume
2021-01-04,181.97,182.4,180.955,182.33,14507131.0
2021-01-05,182.87,183.21,181.8239,182.87,12816726.0
2021-01-06,181.49,181.58,178.24,179.9,18487783.0
2021-01-07,179.69,179.92,178.84,179.48,7113126.0
2021-01-08,176.83,176.9899,171.48,173.34,24499844.0
2021-01-11,172.14,173.68,172.03,173.0,8751931.0
2021-01-12,173.13,174.18,172.32,174.12,9986052.0
2021-01-13,173.68,174.46,173.05,173.37,14118715.0
2021-01-14,173.44,174.22,172.655,173.28,13532559.0
2021-01-15,172.8437,173.07,170.975,171.13,16228144.0
2021-01-19,172.71,172.85,171.92,172.58,7694445.0
2021-01-20,174.37,175.467,173.82,175.39,9519578.0
2021-01-21,175.11,175.51,174.51,175.28,7264914.0
2021-01-22,172.89,174.29,172.35,173.9,7352826.0
2021-01-25,174.8199,174.96,173.19,174.05,6015099.0
2021-01-26,173.98,174.26,173.4202,173.62,4756145.0
2021-01-27,172.93,173.52,171.66,172.52,9140407.0
2021-01-28,174.28,174.73,172.04,172.68,9194187.0
2021-01-29,174.87,175.1633,172.61,172.61,11349577.0
2021-02-01,175.02,175.26,174.06,174.23,9107022.0
2021-02-02,172.49,172.53,171.51,172.11,6995112.0
2021-02-03,172.36,172.5901,171.5,171.85,4712886.0
2021-02-04,168.29,168.395,167.34,168.15,13908897.0
2021-02-05,168.99,170.18,168.67,169.81,6608813.0
2021-02-08,171.9799,172.4,171.49,171.52,6985238.0
2021-02-09,172.57,173.03,171.75,172.08,5188174.0
2021-02-10,173.15,173.22,172.01,172.71,6172116.0
2021-02-11,172.7,172.871,170.71,171.21,6088914.0
2021-02-12,170.29,171.65,169.88,170.69,6064354.0
2021-02-16,168.14,170.065,167.73,168.24,14907401.0
2021-02-17,166.92,167.34,165.85,166.33,11543341.0
2021-02-18,166.98,167.3,165.73,166.32,7570099.0
2021-02-19,166.76,167.94,166.6,167.01,8342125.0
2021-02-22,168.54,169.89,168.3,169.51,10198846.0
2021-02-23,169.48,169.74,168.28,169.12,8687930.0
2021-02-24,167.65,169.14,167.15,169.0,8967277.0
2021-02-25,166.92,167.66,165.45,165.82,16218937.0
2021-02-26,165.0,165.1,160.95,161.81,23810366.0
2021-03-01,163.03,163.35,161.16,161.53,13992293.0
2021-03-02,161.93,162.925,161.22,162.41,11577737.0
2021-03-03,160.61,161.69,159.485,160.62,13137380.0
2021-03-04,160.6,161.455,158.43,159.04,13982483.0
2021-03-05,159.66,159.82,158.55,159.14,12226050.0
2021-03-08,158.58,158.74,157.1297,157.49,12258267.0
2021-03-09,160.75,161.2521,160.415,160.84,10509024.0
2021-03-10,161.06,161.78,160.66,161.66,8013355.0
2021-03-11,161.47,161.98,161.12,161.52,6807528.0
2021-03-12,159.54,161.69,159.35,161.49,8684745.0
2021-03-15,162.305,162.55,161.43,162.2,8161385.0
2021-03-16,162.36,163.2,161.81,162.35,7620096.0
2021-03-17,162.268,164.15,161.48,163.51,12656544.0
2021-03-18,161.15,162.82,161.11,162.56,8842756.0
2021-03-19,162.56,163.43,162.4299,163.24,6917520.0
2021-03-22,162.27,163.13,162.16,163.0,5279874.0
2021-03-23,162.45,162.49,161.592,161.81,6081869.0
2021-03-24,162.21,162.89,161.94,162.37,6222233.0
2021-03-25,163.0599,163.5799,161.32,161.78,8428717.0
2021-03-26,161.71,162.73,161.6499,162.24,6193961.0
2021-03-29,161.46,161.52,159.83,160.31,8269906.0
2021-03-30,157.94,158.2,157.55,157.57,8451027.0
2021-03-31,158.06,160.68,158.05,159.96,10574601.0
2021-04-01,161.56,162.11,161.28,161.98,7172124.0
2021-04-05,161.52,162.4047,161.36,161.92,6224947.0
2021-04-06,162.79,163.53,162.75,163.22,6844638.0
2021-04-07,162.82,163.31,162.5,162.76,5473011.0
