date,open,high,low,close,volume
2021-01-04,156.67,158.18,156.54,157.54,13152900.0
2021-01-05,156.95,156.95,155.66,156.37,10458100.0
2021-01-06,153.82,153.85,152.29,153.16,22827300.0
2021-01-07,151.79,152.17,151.26,151.81,14651900.0
2021-01-08,151.48,151.96,150.66,151.32,13622819.0
2021-01-11,151.0,151.21,150.49,151.07,8380898.0
2021-01-12,150.79,151.16,149.93,150.95,12186305.0
2021-01-13,151.66,153.07,151.57,152.65,12533300.0
2021-01-14,152.58,152.64,150.79,151.22,14835500.0
2021-01-15,152.19,152.36,151.47,151.82,11624700.0
2021-01-19,151.62,152.36,151.51,152.31,9575600.0
2021-01-20,151.99,152.48,151.79,152.46,5368933.0
2021-01-21,151.44,151.75,151.1,151.39,8164729.0
2021-01-22,151.85,152.01,151.42,151.88,9507200.0
2021-01-25,152.76,153.69,152.64,153.67,8712616.0
2021-01-26,153.1,153.6,152.92,153.38,7690318.0
2021-01-27,154.07,154.5,153.53,153.77,7895249.0
2021-01-28,153.4,153.46,152.16,152.92,10667800.0
2021-01-29,151.42,152.49,151.3,152.0,14966238.0
2021-02-01,151.66,152.36,151.49,152.0,8165534.0
2021-02-02,150.74,151.09,150.52,151.02,9177500.0
2021-02-03,150.43,150.59,149.58,149.68,9633100.0
2021-02-04,149.16,149.49,148.8,149.28,8262613.0
2021-02-05,149.1,149.57,148.02,148.03,10258935.0
2021-02-08,148.3,149.26,148.04,148.68,11574800.0
2021-02-09,149.22,149.67,148.66,148.79,5218341.0
2021-02-10,149.28,149.78,149.14,149.78,8079802.0
2021-02-11,149.68,149.79,148.75,148.96,11962758.0
2021-02-12,147.7,148.08,147.03,147.11,14088400.0
2021-02-16,145.22,145.66,144.66,144.87,17789100.0
2021-02-17,145.95,146.38,144.98,145.79,11203329.0
2021-02-18,144.61,145.6,144.32,145.2,10755817.0
2021-02-19,144.06,144.32,142.85,143.27,12741726.0
2021-02-22,143.03,143.74,141.72,142.18,13203900.0
2021-02-23,141.52,142.5,141.14,141.77,12658500.0
2021-02-24,139.35,141.18,139.16,140.84,17363100.0
2021-02-25,139.52,139.92,136.61,138.54,52621705.0
2021-02-26,140.77,143.3,139.68,143.12,45423326.0
2021-03-01,140.66,141.41,140.09,141.06,22050428.0
2021-03-02,140.4,141.13,140.29,141.07,12482218.0
2021-03-03,139.38,140.15,138.76,139.54,19763736.0
2021-03-04,139.63,139.94,137.96,138.64,22366600.0
2021-03-05,138.17,139.34,137.99,138.91,20598039.0
2021-03-08,138.83,138.9,137.83,137.83,15236619.0
2021-03-09,139.27,139.82,138.97,139.74,14463400.0
2021-03-10,139.8,140.15,139.28,140.02,12387639.0
2021-03-11,139.17,139.38,138.46,139.01,14150742.0
2021-03-12,136.4,136.46,135.65,136.06,20402701.0
2021-03-15,136.49,137.09,136.41,136.86,11366662.0
2021-03-16,137.02,137.12,135.75,136.31,15567907.0
2021-03-17,135.15,135.53,134.15,135.29,27107500.0
2021-03-18,133.31,134.47,133.19,133.92,21622014.0
2021-03-19,134.08,134.83,133.8,134.75,18685000.0
2021-03-22,135.69,136.41,135.37,136.26,17047525.0
2021-03-23,136.59,137.54,136.15,137.49,16768448.0
2021-03-24,137.06,138.28,136.95,138.23,13863000.0
2021-03-25,138.39,138.66,137.09,137.14,20782000.0
2021-03-26,136.42,137.24,136.22,136.66,8433300.0
2021-03-29,136.83,136.85,134.97,135.5,13968100.0
2021-03-30,135.3,136.51,135.01,136.21,15020800.0
2021-03-31,136.34,136.59,134.98,135.45,19271300.0
2021-04-01,136.55,137.62,136.3,137.51,14885947.0
